Sex,Year,Estimated incidence rate of new HIV infection per 1 000 uninfected population,Estimated number of annual new HIV infections,Estimated number of people living with HIV
Male,2004,0.38,500,5700
Female,2005,0.86,620,7000
Male,2005,0.35,500,6000
Female,2006,0.79,580,7100
Male,2006,0.32,500,6200
Female,2007,0.73,550,7200
Male,2007,0.29,500,6400
Female,2008,0.67,520,7300
Male,2008,0.27,500,6500
Female,2009,0.61,500,7200
Male,2009,0.24,500,6500
Female,2010,0.55,500,7100
Male,2010,0.22,200,6400
Female,2011,0.5,500,6900
Male,2011,0.2,200,6300
Female,2012,0.45,500,6700
Male,2012,0.18,200,6100
Female,2013,0.41,500,6500
Male,2013,0.16,200,5800
Female,2014,0.38,500,6200
Male,2014,0.15,200,5600
Female,2015,0.35,500,6000
Male,2015,0.14,200,5300
Female,2016,0.32,500,5800
Male,2016,0.13,200,5100
Female,2017,0.29,500,5500
Male,2017,0.12,200,4900
Female,2018,0.25,500,5200
Male,2018,0.1,200,4700
Female,2019,0.23,500,5000
Male,2019,0.09,200,4500
Female,1990,8.35,1200,2200
Male,1990,3.9,550,1000
Female,1991,8.35,1200,2700
Male,1991,3.81,550,1200
Female,1992,7.92,1200,2900
Male,1992,3.53,530,1200
Female,1993,7.25,1100,2900
Male,1993,3.18,500,1200
Female,1994,6.84,1100,2900
Male,1994,2.96,500,1200
Female,1995,6.35,1100,2800
Male,1995,2.73,500,1100
Female,1996,5.79,990,2700
Male,1996,2.47,500,1100
Female,1997,5.53,980,2600
Male,1997,2.35,500,1100
Female,1998,4.88,900,2600
Male,1998,2.07,500,1100
Female,1999,4.46,850,2600
Male,1999,1.89,500,1200
Female,2000,4.12,810,2700
Male,2000,1.75,500,1400
Female,2001,3.8,760,2800
Male,2001,1.62,500,1600
Female,2002,3.57,730,3000
Male,2002,1.53,500,1800
Female,2003,3.42,720,3200
Male,2003,1.46,500,2100
Female,2004,3.23,690,3400
Male,2004,1.38,500,2300
Female,2005,2.98,650,3600
Male,2005,1.28,500,2600
